Indicator,"Opioid-related and other drug poisoning deaths per 100,000 people, by drug type"
Source,"Centers for Disease Control and Prevention, National Center for Health Statistics via CDC WONDER Database.<br />
<br />
Suggested Citation:<br />
<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE].<br />
<div><br />
</div>"
Notes,"Age-adjusted rates of drug-poisoning deaths, including those associated with certain opioids (natural and semi-synthetic opioids [e.g., hydrocodone, oxycodone], synthetic opioids [e.g., fentanyl], and heroin), and other selected drugs. Rates and standard errors obtained from the CDC WONDER Database using ICD-10 underlying cause-of-death codes X40&ndash;X44 (unintentional death), X60&ndash;X64 (suicide), X85 (homicide), and Y10&ndash;Y14 (death of undetermined intent) with multiple cause-of-death codes of T40.2 (other opioids [i.e., natural and semi-synthetic opioids]), T40.4 (other synthetic opioids [i.e., those other than methadone]), T40.1 (heroin), T40.5 (cocaine) and T43.6 (psychostimulants with abuse potential). Excluded opioids include T40.0 (opiuim), T40.3 (methadone), T40.6 (other or unspecified opioids). Deaths from these types of drugs are not mutually exclusive (e.g., an overdose death may involve both heroin and synthetic opioids); because of that, death rates cannot be accurately summed across categories for a total rate. N/A indicates that data are suppressed because the rate is based on 20 or fewer deaths. In some years, deaths related to specific drugs may be under-reported because of an unusually high number of death certificates with a cause listed as "pending" (e.g., Ohio and West Virginia in 2009). More information is available&nbsp;<a href="https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_03.pdf">here</a>."
Description,"<div><span style="font-size: 18px;">Age-adjusted rates of deaths caused by drug poisoning (i.e., overdose), including those caused by natural and semi-synthetic opioids, synthetic opioids (non-methadone), the illegal opioid heroin, cocaine, and psychostimulants.</span></div>
<div><span style="font-size: 18px;"><br />
</span></div>
<div><span style="font-size: 18px;">Natural and semi-synthetic opioids &ndash; This category includes common prescription painkiller pills (e.g., hydrocodone and oxycodone). It includes deaths from painkillers that were legitimately manufactured, prescribed and sold, as well as those that may have been improperly prescribed or diverted from their intended source. It also may include deaths from &ldquo;counterfeit&rdquo; painkiller pills that were illicitly trafficked.</span></div>
<div><span style="font-size: 18px;"><br />
</span></div>
<div><span style="font-size: 18px;">Synthetic opioids &ndash; This category include synthetic opioids (e.g., fentanyl). However, it excludes methadone, a synthetic opioid that is used both as a painkiller and as a U.S. Food and Drug Administration-approved medication for treating opioid use disorder. It includes deaths from synthetic that were legitimately manufactured, prescribed and sold, as well as those that may have been improperly prescribed or diverted from their intended source. It also includes deaths from illicitly trafficked synthetic opioids, which may be sold inaccurately (i.e., sold as heroin when it actually is fentanyl) or combined with other drugs (i.e., mixed into heroin or counterfeit painkiller pills to increase their potency).</span></div>
<div><span style="font-size: 18px;"><br />
</span></div>
<div><span style="font-size: 18px;">Heroin &ndash; This category includes only heroin, which has no legal medical use in the United States and is exclusively trafficked illicitly. However, heroin may be mixed with other drugs (e.g., synthetic opioids).</span></div>
<div><span style="font-size: 18px;"><br />
</span></div>
<span style="font-size: 18px;">Cocaine&nbsp;&ndash;&nbsp;This category includes only cocaine, which is commonly used as an illicit recreational drug but also has some approved legal medical uses in the United States (e.g., as an anesthetic). Although cocaine is legally classified as a narcotic in the U.S., it is not pharmacologically an opioid. However, it is sometimes trafficked alongside or even mixed with illicit opioids such as heroin and fentanyl.<br />
<br />
Psychostimulants<span style="font-size: large;">&nbsp;&ndash;&nbsp;This category includes various stimulant drugs, including legal prescription medications commonly used to treat attention deficit hyperactivity disorder (ADHD), such as Ritalin (methylphenidate) and Adderall (amphetamine); and methamphetamine, which has approved legal medical uses in the United States but is commonly illicitly manufactured and/or trafficked and used recreationally. Similar to prescription opioid painkillers, prescription psychostimulants are sometimes diverted from their intended medical use and abused. These psychostimulants are not opioids but are sometimes trafficked alongside or even mixed with illicit opioids such as heroin and fentanyl.</span></span>"


Fips,Location,Drug Type,TimeFrame,Data Type,Data,MOE
01,Alabama,Cocaine,1999,"Rate per 100,000",0.51516,0.21551597118377686
02,Alaska,Cocaine,1999,"Rate per 100,000",N/A,N/A
04,Arizona,Cocaine,1999,"Rate per 100,000",2.75748,0.46649470925331116
05,Arkansas,Cocaine,1999,"Rate per 100,000",N/A,N/A
06,California,Cocaine,1999,"Rate per 100,000",1.21234,0.11864561587572098
08,Colorado,Cocaine,1999,"Rate per 100,000",2.11531,0.42383205890655518
09,Connecticut,Cocaine,1999,"Rate per 100,000",2.33769,0.51000165939331055
10,Delaware,Cocaine,1999,"Rate per 100,000",N/A,N/A
11,Dist. of Columbia,Cocaine,1999,"Rate per 100,000",4.96286,1.8720583915710449
12,Florida,Cocaine,1999,"Rate per 100,000",1.27961,0.18176470696926117
13,Georgia,Cocaine,1999,"Rate per 100,000",0.82124,0.19302047789096832
15,Hawaii,Cocaine,1999,"Rate per 100,000",N/A,N/A
16,Idaho,Cocaine,1999,"Rate per 100,000",N/A,N/A
17,Illinois,Cocaine,1999,"Rate per 100,000",3.00175,0.30619007349014282
18,Indiana,Cocaine,1999,"Rate per 100,000",0.46164,0.17150254547595978
19,Iowa,Cocaine,1999,"Rate per 100,000",N/A,N/A
20,Kansas,Cocaine,1999,"Rate per 100,000",N/A,N/A
21,Kentucky,Cocaine,1999,"Rate per 100,000",N/A,N/A
22,Louisiana,Cocaine,1999,"Rate per 100,000",0.6671,0.24334490299224854
23,Maine,Cocaine,1999,"Rate per 100,000",N/A,N/A
24,Maryland,Cocaine,1999,"Rate per 100,000",2.39823,0.40964069962501526
25,Massachusetts,Cocaine,1999,"Rate per 100,000",2.18108,0.35685187578201294
26,Michigan,Cocaine,1999,"Rate per 100,000",0.68799,0.16486689448356628
27,Minnesota,Cocaine,1999,"Rate per 100,000",N/A,N/A
28,Mississippi,Cocaine,1999,"Rate per 100,000",N/A,N/A
29,Missouri,Cocaine,1999,"Rate per 100,000",0.87215,0.24692192673683167
30,Montana,Cocaine,1999,"Rate per 100,000",N/A,N/A
31,Nebraska,Cocaine,1999,"Rate per 100,000",N/A,N/A
32,Nevada,Cocaine,1999,"Rate per 100,000",2.89372,0.74640053510665894
33,New Hampshire,Cocaine,1999,"Rate per 100,000",N/A,N/A
34,New Jersey,Cocaine,1999,"Rate per 100,000",1.94112,0.29571795463562012
35,New Mexico,Cocaine,1999,"Rate per 100,000",6.18489,1.1615209579467773
36,New York,Cocaine,1999,"Rate per 100,000",2.21755,0.21108876168727875
37,North Carolina,Cocaine,1999,"Rate per 100,000",0.8667,0.20201049745082855
38,North Dakota,Cocaine,1999,"Rate per 100,000",N/A,N/A
39,Ohio,Cocaine,1999,"Rate per 100,000",0.76397,0.1605832427740097
40,Oklahoma,Cocaine,1999,"Rate per 100,000",N/A,N/A
41,Oregon,Cocaine,1999,"Rate per 100,000",0.78191,0.29544955492019653
42,Pennsylvania,Cocaine,1999,"Rate per 100,000",1.17354,0.19528287649154663
44,Rhode Island,Cocaine,1999,"Rate per 100,000",N/A,N/A
45,South Carolina,Cocaine,1999,"Rate per 100,000",0.87886,0.29133105278015137
46,South Dakota,Cocaine,1999,"Rate per 100,000",N/A,N/A
47,Tennessee,Cocaine,1999,"Rate per 100,000",1.21234,0.28626415133476257
48,Texas,Cocaine,1999,"Rate per 100,000",1.34227,0.15744376182556152
49,Utah,Cocaine,1999,"Rate per 100,000",4.13786,0.91043436527252197
50,Vermont,Cocaine,1999,"Rate per 100,000",N/A,N/A
51,Virginia,Cocaine,1999,"Rate per 100,000",1.09806,0.23774965107440948
53,Washington,Cocaine,1999,"Rate per 100,000",2.12605,0.36711764335632324
54,West Virginia,Cocaine,1999,"Rate per 100,000",N/A,N/A
55,Wisconsin,Cocaine,1999,"Rate per 100,000",0.97824,0.26603677868843079
56,Wyoming,Cocaine,1999,"Rate per 100,000",N/A,N/A
US,United States,Cocaine,1999,"Rate per 100,000",1.35003,4.292311891913414E-2
01,Alabama,Heroin,1999,"Rate per 100,000",N/A,N/A
02,Alaska,Heroin,1999,"Rate per 100,000",N/A,N/A
04,Arizona,Heroin,1999,"Rate per 100,000",0.46856,0.19255729135999899
05,Arkansas,Heroin,1999,"Rate per 100,000",N/A,N/A
06,California,Heroin,1999,"Rate per 100,000",1.42977,0.1300391498
08,Colorado,Heroin,1999,"Rate per 100,000",0.9253,0.28016944228000001
09,Connecticut,Heroin,1999,"Rate per 100,000",2.80091,0.56155341228
10,Delaware,Heroin,1999,"Rate per 100,000",N/A,0.94811354791999902
11,Dist. of Columbia,Heroin,1999,"Rate per 100,000",N/A,1.5048391803200001
12,Florida,Heroin,1999,"Rate per 100,000",0.83807,0.147936243
13,Georgia,Heroin,1999,"Rate per 100,000",N/A,N/A
15,Hawaii,Heroin,1999,"Rate per 100,000",N/A,N/A
16,Idaho,Heroin,1999,"Rate per 100,000",N/A,N/A
17,Illinois,Heroin,1999,"Rate per 100,000",0.24581,8.8145549239999899E-2
18,Indiana,Heroin,1999,"Rate per 100,000",N/A,N/A
19,Iowa,Heroin,1999,"Rate per 100,000",N/A,N/A
20,Kansas,Heroin,1999,"Rate per 100,000",N/A,N/A
21,Kentucky,Heroin,1999,"Rate per 100,000",N/A,N/A
22,Louisiana,Heroin,1999,"Rate per 100,000",N/A,N/A
