Indicator,"Prescription opioid painkiller sales in kilograms per 100,000 people by oxycodone and hydrocodone"
Source,"U.S. Drug Enforcement Agency's Automated Reports and Consolidated Ordering System (ARCOS) Retail Drug Summary Reports.<br />
<br />
Suggested Citation:<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE]."
Notes,"The DEA ARCOS system records legal transactions of controlled substances, such as prescription opioids. Although there are other prescription opioids, oxycodone (also known by the brand names "Oxycontin" and "Percocet") and hydrocodone (also known by the brand names "Vicodin" and "Lortab") are the most common according to DEA ARCOS data."
Description,"Annual kilograms sold of oxycodone and hydrocodone per 100,000 people.<br />"


Fips,Location,Oxycodone / Hydrocodone,TimeFrame,Data Type,Data,MOE
US,United States,Oxycodone,2000,"Rate per 100,000",5.51069,
US,United States,Oxycodone,2001,"Rate per 100,000",7.17455,
US,United States,Oxycodone,2002,"Rate per 100,000",8.05633,
US,United States,Oxycodone,2003,"Rate per 100,000",9.59663,
US,United States,Oxycodone,2004,"Rate per 100,000",10.50476,
US,United States,Oxycodone,2005,"Rate per 100,000",11.02733,
US,United States,Oxycodone,2006,"Rate per 100,000",12.96938,
US,United States,Oxycodone,2007,"Rate per 100,000",15.92278,
US,United States,Oxycodone,2008,"Rate per 100,000",17.15064,
US,United States,Oxycodone,2009,"Rate per 100,000",19.52719,
US,United States,Oxycodone,2010,"Rate per 100,000",20.36066,
US,United States,Oxycodone,2011,"Rate per 100,000",20.32015,
US,United States,Oxycodone,2012,"Rate per 100,000",19.59463,
US,United States,Oxycodone,2013,"Rate per 100,000",18.34215,
US,United States,Oxycodone,2014,"Rate per 100,000",18.31244,
US,United States,Oxycodone,2015,"Rate per 100,000",18.40444,
US,United States,Oxycodone,2016,"Rate per 100,000",17.51185,
US,United States,Hydrocodone,2000,"Rate per 100,000",5.08323,
US,United States,Hydrocodone,2001,"Rate per 100,000",5.61466,
US,United States,Hydrocodone,2002,"Rate per 100,000",6.77669,
US,United States,Hydrocodone,2003,"Rate per 100,000",8.04384,
US,United States,Hydrocodone,2004,"Rate per 100,000",8.67019,
US,United States,Hydrocodone,2005,"Rate per 100,000",9.29003,
US,United States,Hydrocodone,2006,"Rate per 100,000",10.45568,
US,United States,Hydrocodone,2007,"Rate per 100,000",12.56079,
US,United States,Hydrocodone,2008,"Rate per 100,000",12.44998,
US,United States,Hydrocodone,2009,"Rate per 100,000",13.22155,
US,United States,Hydrocodone,2010,"Rate per 100,000",12.49809,
US,United States,Hydrocodone,2011,"Rate per 100,000",13.55256,
US,United States,Hydrocodone,2012,"Rate per 100,000",13.39336,
US,United States,Hydrocodone,2013,"Rate per 100,000",13.54226,
US,United States,Hydrocodone,2014,"Rate per 100,000",12.10534,
US,United States,Hydrocodone,2015,"Rate per 100,000",10.50825,
US,United States,Hydrocodone,2016,"Rate per 100,000",9.70789,
US,United States,Oxycodone,2017,"Rate per 100,000",15.77549,
US,United States,Hydrocodone,2017,"Rate per 100,000",8.6105,
01,Alabama,Hydrocodone,2017,"Rate per 100,000",20.13305,
01,Alabama,Oxycodone,2017,"Rate per 100,000",19.31574,
